center,left,right,steering,throttle,brake,speed
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_36_153.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_36_153.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_36_153.jpg,0,0,0,7.917859E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_36_254.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_36_254.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_36_254.jpg,0,0,0,7.806114E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_36_370.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_36_370.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_36_370.jpg,0,0,0,7.808468E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_36_470.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_36_470.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_36_470.jpg,0,0,0,7.838866E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_36_570.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_36_570.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_36_570.jpg,0,0,0,7.812667E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_36_687.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_36_687.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_36_687.jpg,0,0,0,7.781685E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_36_803.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_36_803.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_36_803.jpg,0,0,0,0.000078445
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_36_920.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_36_920.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_36_920.jpg,0,0,0,7.866631E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_37_020.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_37_020.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_37_020.jpg,0,0,0,8.035517E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_37_136.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_37_136.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_37_136.jpg,0,0,0,7.830039E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_37_253.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_37_253.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_37_253.jpg,0,0,0,7.801339E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_37_369.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_37_369.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_37_369.jpg,0,0,0,8.006814E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_37_486.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_37_486.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_37_486.jpg,0,0,0,7.79523E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_37_602.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_37_602.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_37_602.jpg,0,0,0,7.77276E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_37_703.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_37_703.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_37_703.jpg,0,0,0,7.895553E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_37_819.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_37_819.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_37_819.jpg,0,0,0,7.900048E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_37_919.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_37_919.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_37_919.jpg,0,0,0,7.831318E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_38_036.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_38_036.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_38_036.jpg,0,0,0,7.92476E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_38_136.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_38_136.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_38_136.jpg,0,0,0,8.455936E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_38_252.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_38_252.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_38_252.jpg,0,0,0,7.89992E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_38_369.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_38_369.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_38_369.jpg,0,0,0,8.034206E-05
/home/yyc/Documents/autodrive/IMG/center_2017_01_25_22_26_38_485.jpg, /home/yyc/Documents/autodrive/IMG/left_2017_01_25_22_26_38_485.jpg, /home/yyc/Documents/autodrive/IMG/right_2017_01_25_22_26_38_485.jpg,0,0,0,7.882929E-05
